Antecedent,Consequent,Support,Confidence,Lift
,+Coupling,0.31698168178010855,0.31698168178010855,1.0
,+Size,0.4279471211624604,0.4279471211624604,1.0
+NumPullRequests,+Complexity,0.0464692814741979,0.31971936857930344,1.3760461037334002
+WordsInDiscussion,+Complexity,0.03918569503623584,0.3002232142857143,1.2921362446820421
-WordsPerComment,+Complexity,0.014239411486215813,0.3356223175965665,1.444491100138577
ExtractionRefactoring,+Complexity,0.02928001748060745,0.5241199478487614,2.2557695373008055
HighHunksCount,+Complexity,0.08605557376452165,0.37567567567567567,1.6168774887740405
LowChangeSet,+Complexity,0.08875050074656761,0.3658060642449715,1.5743994855960302
+Contributor,+Coupling,0.10561200335044976,0.41416738074835757,1.3065972090957203
+Contributor,+Size,0.127826941986234,0.5012853470437018,1.1713721678557574
+NumPullRequests,+Coupling,0.060453767435085036,0.41593585567526936,1.312176316749451
+WordsInDiscussion,+Coupling,0.053206598929312794,0.4076450892857143,1.2860209681406742
+WordsPerComment,+Coupling,0.02654867256637168,0.4175257731958763,1.3171921192768343
-WordsPerComment,+Coupling,0.01933792199278925,0.455793991416309,1.4379190269187072
ExtractionRefactoring,+Coupling,0.02498270148220984,0.4471968709256845,1.4107972057385536
HighHunksCount,+Coupling,0.10102334389453367,0.44101748807631164,1.3913027579374357
LowChangeSet,+Coupling,0.10295349430059361,0.42434704293005104,1.338711563857568
LowCodeChurn,+Coupling,0.08743945518773444,0.3244156195108769,1.0234522628847849
MajorContributor,+Coupling,0.24472850431552495,0.31875533630585334,1.0055954480264737
MinorContributor,+Coupling,0.07225317746458357,0.31111808060216406,0.9815017664585044
RenameRefactoring,+Coupling,0.010743289995994028,0.3031860226104831,0.9564780554757876
+NumPullRequests,+Size,0.08245019847773044,0.5672763718366325,1.3255758568855494
+WordsInDiscussion,+Size,0.07549437342947668,0.5784040178571429,1.351578242391225
+WordsPerComment,+Size,0.03729196256236571,0.586483390607102,1.3704576140482012
-WordsPerComment,+Size,0.02498270148220984,0.5888412017167381,1.3759671992119744
ExtractionRefactoring,+Size,0.0390400233074766,0.6988265971316818,1.6329741750181985
HighCodeChurn,+Size,0.0699224298044357,0.3086816720257235,0.7213079765257715
HighHunksCount,+Size,0.12553261225827597,0.5480127186009539,1.2805617598556371
LowChangeSet,+Size,0.13864306784660768,0.5714500150105074,1.3353285645624646
LowCodeChurn,+Size,0.12229141629338286,0.45372246993649507,1.0602302188738164
MajorContributor,+Size,0.339924979059689,0.4427473674224457,1.0345842874694013
MinorContributor,+Size,0.0880221421027714,0.3790183471851968,0.8856663088552734
RenameRefactoring,+Size,0.013328963181470557,0.37615621788283665,0.8789782645600214
ExtractionRefactoring,-Cohesion,0.021450162059798245,0.38396349413298564,2.53993100105942
RenameRefactoring,-Size,0.01245493280891511,0.35149023638232274,1.5655426440911921
"HighHunksCount, +Contributor",+Complexity,0.022797625550821224,0.4023136246786632,1.7315250501647983
"LowChangeSet, +Contributor",+Complexity,0.0252012090753487,0.4080188679245283,1.7560799520908499
"MajorContributor, +Contributor",+Complexity,0.04570450489821188,0.5126633986928104,2.2064614834962195
ExtractionRefactoring,"+Complexity, +Coupling",0.01930150406059944,0.3455019556714472,2.1233523278384667
+NumPullRequests,"+Size, +Complexity",0.04464838486470738,0.3071911801553495,1.3830402715011876
"+WordsInDiscussion, +NumPullRequests",+Complexity,0.022834043483011036,0.3258835758835759,1.4025763495591084
"HighHunksCount, +NumPullRequests",+Complexity,0.018500309552423613,0.43381725021349277,1.8671140867730875
"LowChangeSet, +NumPullRequests",+Complexity,0.014712844604683346,0.3709825528007346,1.5966786704318765
"+NumPullRequests, MajorContributor",+Complexity,0.041043009577916165,0.4144906215520412,1.7839338522253134
-WordsPerComment,"+Size, +Complexity",0.01365672457117885,0.3218884120171674,1.4492103468731594
ExtractionRefactoring,"+Size, +Complexity",0.02760479259987618,0.4941329856584094,2.224692187767546
HighHunksCount,"+Size, +Complexity",0.07960959976692523,0.34753577106518285,1.5646802324444755
LowChangeSet,"+Size, +Complexity",0.08445318474817,0.34809366556589616,1.5671919925846767
"-WordsPerComment, +WordsInDiscussion",+Complexity,0.014239411486215813,0.3356223175965665,1.444491100138577
"+WordsInDiscussion, HighHunksCount",+Complexity,0.013365381113660367,0.44377267230955264,1.9099614120608162
"+WordsInDiscussion, LowChangeSet",+Complexity,0.013583888706799227,0.3810010214504596,1.639797342947989
"+WordsInDiscussion, MajorContributor",+Complexity,0.03499763283440766,0.3795418641390205,1.6335172488077374
"MajorContributor, +WordsPerComment",+Complexity,0.013037619723952074,0.3290441176470588,1.4161790637101237
"-WordsPerComment, MajorContributor",+Complexity,0.013110455588331694,0.40044493882091214,1.7234823785397222
"ExtractionRefactoring, HighHunksCount",+Complexity,0.01930150406059944,0.549792531120332,2.3662622432653913
"ExtractionRefactoring, LowChangeSet",+Complexity,0.01260060453767435,0.6653846153846154,2.863761152640463
"ExtractionRefactoring, MajorContributor",+Complexity,0.027022105684839214,0.5376811594202898,2.3141358866021533
"HighHunksCount, LowChangeSet",+Complexity,0.031537929276375685,0.4994232987312571,2.149477172392099
"LowCodeChurn, HighHunksCount",+Complexity,0.013511052842419607,0.40195016251354276,1.7299607386299956
"HighHunksCount, MajorContributor",+Complexity,0.08157616810517498,0.4012179831631739,1.7268094983820679
"LowCodeChurn, LowChangeSet",+Complexity,0.055865107979168944,0.3046673286991063,1.3112633509010596
"LowChangeSet, MajorContributor",+Complexity,0.07604064241232383,0.407573687292602,1.754163930935354
"+NumPullRequests, +Contributor",+Coupling,0.023926581448705343,0.4282920469361147,1.3511570906271568
+Contributor,"+Size, +Coupling",0.07899049491969846,0.3097686375321337,1.2762096051005039
"+WordsInDiscussion, +Contributor",+Coupling,0.015113441858771259,0.37488708220415534,1.1826774345408892
"HighCodeChurn, +Contributor",+Coupling,0.017007174332641393,0.4050303555941024,1.2777721202043264
"HighHunksCount, +Contributor",+Coupling,0.029425689209366692,0.519280205655527,1.6382025697489793
"LowChangeSet, +Contributor",+Coupling,0.032120616191412654,0.5200471698113208,1.6406221548539817
"LowCodeChurn, +Contributor",+Coupling,0.02887942022651954,0.4098191214470284,1.2928795100889192
"MajorContributor, +Contributor",+Coupling,0.04971047743909101,0.5575980392156863,1.759086001703071
"MinorContributor, +Contributor",+Coupling,0.05590152591135875,0.3370663153271849,1.063362126903627
"+NumPullRequests, +Contributor",+Size,0.032739721038639424,0.5860495436766623,1.3694438277438064
"+WordsInDiscussion, +Contributor",+Size,0.02512837321096908,0.6233062330623306,1.4565029234668143
"+WordsPerComment, +Contributor",+Size,0.017080010197021014,0.6614950634696757,1.5457401878830588
"HighChangeSet, +Contributor",+Size,0.02068538548381223,0.41550841258229704,0.970934005709922
"HighCodeChurn, +Contributor",+Size,0.018864488874321714,0.4492627927146574,1.0498091247682562
"HighHunksCount, +Contributor",+Size,0.03394151280090316,0.5989717223650385,1.3996395646686741
"LowChangeSet, +Contributor",+Size,0.03863942605338869,0.6255896226415094,1.4618386050645227
"LowCodeChurn, +Contributor",+Size,0.035835245274773296,0.5085271317829457,1.1882943163669395
"MajorContributor, +Contributor",+Size,0.061327797807640486,0.6879084967320261,1.6074614425806064
"MinorContributor, +Contributor",+Size,0.06649914417859354,0.40096618357487923,0.9369526367783685
"HighCodeChurn, +Contributor",-Size,0.013183291452711314,0.3139635732870772,1.3983983388304708
+NumPullRequests,"+Size, +Coupling",0.04996540296441968,0.3437734903532949,1.4163055171209489
"+WordsInDiscussion, +NumPullRequests",+Coupling,0.028223897447102953,0.40280665280665284,1.2707568795287085
"+NumPullRequests, +WordsPerComment",+Coupling,0.013365381113660367,0.41282339707536553,1.3023572679563948
"HighCodeChurn, +NumPullRequests",+Coupling,0.010634036199424596,0.44648318042813456,1.408545686049649
"HighHunksCount, +NumPullRequests",+Coupling,0.021741505517316725,0.5098206660973527,1.6083600264668205
"LowChangeSet, +NumPullRequests",+Coupling,0.01780836884081722,0.44903581267217635,1.4165986190447253
"LowCodeChurn, +NumPullRequests",+Coupling,0.014312247350595433,0.3672897196261682,1.1587096060678943
"+NumPullRequests, MajorContributor",+Coupling,0.04530390764412397,0.45752114748069145,1.4433677836250352
"MinorContributor, +NumPullRequests",+Coupling,0.015149859790961069,0.3270440251572327,1.0317442425083239
+WordsInDiscussion,"+Size, +Coupling",0.04333733930587421,0.33203125,1.3679288962865717
+WordsPerComment,"+Size, +Coupling",0.02075822134819185,0.32646048109965636,1.3449779970765887
-WordsPerComment,"+Size, +Coupling",0.016205979824465568,0.38197424892703863,1.5736880572074348
ExtractionRefactoring,"+Size, +Coupling",0.02261553588987217,0.40482398956975224,1.6678262460008741
HighHunksCount,"+Size, +Coupling",0.08117557085108708,0.35437201907790145,1.4599701833248455
LowChangeSet,"+Size, +Coupling",0.08598273790014203,0.35439807865505857,1.4600775456548016
"+WordsInDiscussion, +WordsPerComment",+Coupling,0.02654867256637168,0.4175257731958763,1.3171921192768343
"-WordsPerComment, +WordsInDiscussion",+Coupling,0.01933792199278925,0.455793991416309,1.4379190269187072
"+WordsInDiscussion, HighHunksCount",+Coupling,0.015040605994391639,0.49939540507859737,1.5754708671936126
"+WordsInDiscussion, LowChangeSet",+Coupling,0.016133143960085947,0.45250255362614916,1.4275353423736705
"LowCodeChurn, +WordsInDiscussion",+Coupling,0.012746276266433591,0.3475670307845084,1.0964893265523685
"+WordsInDiscussion, MajorContributor",+Coupling,0.04122509923886522,0.44707740916271727,1.4104203329732368
"+WordsInDiscussion, MinorContributor",+Coupling,0.011981499690447577,0.31273764258555137,0.9866110900455715
"MajorContributor, +WordsPerComment",+Coupling,0.019192250264030007,0.48437499999999994,1.5280851476332717
"-WordsPerComment, MajorContributor",+Coupling,0.015623292909428602,0.4771968854282536,1.5054399445053326
"ExtractionRefactoring, HighHunksCount",+Coupling,0.01660657707855348,0.47302904564315357,1.4922914251281425
"ExtractionRefactoring, MajorContributor",+Coupling,0.022797625550821224,0.4536231884057971,1.4310706721547313
"HighHunksCount, HighCodeChurn",+Coupling,0.021777923449506537,0.3548961424332344,1.119610888680398
"MinorContributor, HighCodeChurn",+Coupling,0.010233438945336683,0.33097762073027087,1.044153778450426
"HighHunksCount, LowChangeSet",+Coupling,0.03324957208929677,0.5265282583621683,1.6610684106579479
"LowCodeChurn, HighHunksCount",+Coupling,0.015040605994391639,0.447453954496208,1.4116082417866929
"HighHunksCount, MajorContributor",+Coupling,0.09159109945737282,0.45047465520329577,1.4211378167770332
"LowCodeChurn, LowChangeSet",+Coupling,0.06890272770312102,0.3757696127110228,1.185461603335475
"LowChangeSet, MajorContributor",+Coupling,0.08143049637641575,0.43646300995510445,1.3769344887818489
"MinorContributor, LowChangeSet",+Coupling,0.021522997924177865,0.3840155945419103,1.2114756675696592
"LowCodeChurn, MajorContributor",+Coupling,0.06278451509523289,0.32485396645939324,1.0248351407408638
"LowCodeChurn, MinorContributor",+Coupling,0.02465494009250155,0.32330468003820445,1.019947519435783
"+WordsInDiscussion, +NumPullRequests",+Size,0.042536144797698384,0.6070686070686071,1.4185598571608273
"+NumPullRequests, +WordsPerComment",+Size,0.020248370297534506,0.6254218222722159,1.4614464996828163
"-WordsPerComment, +NumPullRequests",+Size,0.010925379656943079,0.6211180124223603,1.4513896266790562
"HighChangeSet, +NumPullRequests",+Size,0.011690156232929095,0.5889908256880734,1.376316831126611
"HighCodeChurn, +NumPullRequests",+Size,0.011180305182271751,0.46941896024464835,1.096908793239537
"HighHunksCount, +NumPullRequests",+Size,0.02640300083761244,0.6191289496157131,1.446741709428803
"LowChangeSet, +NumPullRequests",+Size,0.024145089041844203,0.6088154269972451,1.4226417164426306
"LowCodeChurn, +NumPullRequests",+Size,0.02083105721257147,0.5345794392523364,1.2491717149544639
"+NumPullRequests, MajorContributor",+Size,0.06092720055355257,0.615299742552409,1.4377938584585652
"MinorContributor, +NumPullRequests",+Size,0.021522997924177865,0.46462264150943394,1.085701056353293
"+WordsInDiscussion, +WordsPerComment",+Size,0.03729196256236571,0.586483390607102,1.3704576140482012
"-WordsPerComment, +WordsInDiscussion",+Size,0.02498270148220984,0.5888412017167381,1.3759671992119744
"+WordsInDiscussion, HighChangeSet",+Size,0.015514039112859172,0.7447552447552447,1.7402973590106596
"+WordsInDiscussion, HighHunksCount",+Size,0.018973742670891146,0.629987908101572,1.4721162427504948
"+WordsInDiscussion, LowChangeSet",+Size,0.02196001311045559,0.6159346271705822,1.4392774170263822
"LowCodeChurn, +WordsInDiscussion",+Size,0.01922866819621982,0.5243296921549155,1.2252207486070823
"+WordsInDiscussion, MajorContributor",+Size,0.056010779707928185,0.6074249605055292,1.4193925615284932
