Antecedent,Consequent,Support,Confidence,Lift
ExtractionRefactoring,+Complexity,0.010842557036367743,0.34909090909090906,1.6707302211302208
LowChangeSet,+Complexity,0.08922520894510956,0.3338968723584108,1.5980123826277672
ExtractionRefactoring,+Coupling,0.010955500338829907,0.3527272727272727,1.4892929292929293
HighHunksCount,+Coupling,0.07804382200135532,0.31946370781322236,1.3488467663224946
LowChangeSet,+Coupling,0.08290038400722838,0.3102282333051564,1.3098525406217716
+WordsPerComment,+Size,0.039417212559295235,0.306948109058927,1.10521291484658
ExtractionRefactoring,+Size,0.01807092839394624,0.5818181818181818,2.0949240267662392
HighHunksCount,+Size,0.0944206008583691,0.38650023116042537,1.3916523166711698
LowChangeSet,+Size,0.11881635419019652,0.4446322907861369,1.60096555616936
LowCodeChurn,+Size,0.11045854980799638,0.3721461187214612,1.3399681720861398
MajorContributor,+Size,0.21515699119042242,0.31061470732105007,1.1184150543393971
RenameRefactoring,+Size,0.01072961373390558,0.4222222222222222,1.5202747277574444
ExtractionRefactoring,-Cohesion,0.013440252992997516,0.43272727272727274,3.8976269305465645
ExtractionRefactoring,-Complexity,0.011520216851140727,0.3709090909090909,2.4023621733058453
"LowChangeSet, +Contributor",+Complexity,0.045064377682403435,0.33529411764705885,1.6046995230524643
"LowCodeChurn, +Contributor",+Complexity,0.04664558391687373,0.30569948186528495,1.4630611959109368
"LowChangeSet, +NumPullRequests",+Complexity,0.05093742941043596,0.33935289691497367,1.6241246212352307
"+WordsInDiscussion, LowChangeSet",+Complexity,0.022701603794894963,0.32006369426751596,1.5318075400241007
"HighHunksCount, +WordsPerComment",+Complexity,0.013440252992997516,0.3707165109034268,1.7742291824534815
"LowChangeSet, +WordsPerComment",+Complexity,0.014343799412694827,0.3498622589531681,1.6744218598764056
"MajorContributor, +WordsPerComment",+Complexity,0.02349220691213011,0.32398753894080995,1.5505868485307737
"HighHunksCount, LowChangeSet",+Complexity,0.027671109103230177,0.4359430604982206,2.086399923054727
"LowCodeChurn, HighHunksCount",+Complexity,0.022023943980121977,0.4184549356223176,2.002702702702703
"HighHunksCount, MajorContributor",+Complexity,0.06539417212559295,0.30863539445628996,1.4771123148735088
"LowCodeChurn, LowChangeSet",+Complexity,0.07409080641517958,0.32459178624443347,1.5534787434638995
"LowChangeSet, MajorContributor",+Complexity,0.06934718771176869,0.40608465608465605,1.9434992134992133
"LowCodeChurn, MajorContributor",+Complexity,0.062344702959114526,0.34716981132075475,1.661535951045385
"LowChangeSet, +Contributor",+Coupling,0.04269256833069799,0.31764705882352945,1.3411764705882356
"HighHunksCount, +Contributor",+Size,0.04303139823808448,0.4110032362459547,1.479879078374007
"LowChangeSet, +Contributor",+Size,0.06031172351479557,0.44873949579831934,1.6157541666524278
"LowCodeChurn, +Contributor",+Size,0.05782697086062796,0.3789785344189489,1.3645693142518804
"MajorContributor, +Contributor",+Size,0.07375197650779308,0.3505099302200751,1.2620638154406445
"HighHunksCount, +NumPullRequests",+Coupling,0.05116331601536029,0.30099667774086375,1.2708748615725358
"LowChangeSet, +NumPullRequests",+Coupling,0.04777501694149537,0.3182844243792325,1.343867569601204
"+WordsInDiscussion, LowChangeSet",+Coupling,0.021346284165348995,0.3009554140127389,1.2707006369426754
"LowChangeSet, +WordsPerComment",+Coupling,0.013779082900384007,0.33608815426997246,1.4190388735843282
"ExtractionRefactoring, MajorContributor",+Coupling,0.010277840524056923,0.3775933609958506,1.5942830797602583
"HighHunksCount, LowChangeSet",+Coupling,0.028122882313078836,0.4430604982206406,1.870699881376038
"LowCodeChurn, HighHunksCount",+Coupling,0.023153377004743618,0.43991416309012876,1.8574153552694326
"HighHunksCount, MajorContributor",+Coupling,0.06957307431669302,0.32835820895522383,1.386401326699834
"LowCodeChurn, LowChangeSet",+Coupling,0.0690083578043822,0.3023255813953489,1.2764857881136953
"LowChangeSet, MajorContributor",+Coupling,0.06087644002710639,0.35648148148148145,1.5051440329218106
"LowCodeChurn, MajorContributor",+Coupling,0.05624576462615767,0.31320754716981136,1.3224318658280925
"+NumPullRequests, +WordsPerComment",+Size,0.034108877343573527,0.3240343347639485,1.1667344448962993
"ExtractionRefactoring, +NumPullRequests",+Size,0.011520216851140727,0.576271186440678,2.074951234138171
"HighHunksCount, +NumPullRequests",+Size,0.06065055342218206,0.35681063122923584,1.2847504387570778
"LowChangeSet, +NumPullRequests",+Size,0.06844364129207138,0.45598194130925507,1.6418316829410917
"LowCodeChurn, +NumPullRequests",+Size,0.06663654845267676,0.37942122186495175,1.3661632771013759
"+NumPullRequests, MajorContributor",+Size,0.13541901965213463,0.3041603247082699,1.0951750772537707
"+WordsInDiscussion, +WordsPerComment",+Size,0.039417212559295235,0.306948109058927,1.10521291484658
"+WordsInDiscussion, LowChangeSet",+Size,0.03196295459679241,0.45063694267515925,1.6225862100227166
"LowCodeChurn, +WordsInDiscussion",+Size,0.031850011294330245,0.3643410852713178,1.3118649731566685
"HighHunksCount, +WordsPerComment",+Size,0.01615089225208945,0.44548286604361365,1.6040281805409335
"LowChangeSet, +WordsPerComment",+Size,0.019313304721030045,0.4710743801652893,1.6961742830351654
"LowCodeChurn, +WordsPerComment",+Size,0.020216851140727354,0.3616161616161616,1.3020534749692945
"MajorContributor, +WordsPerComment",+Size,0.028009939010616672,0.3862928348909657,1.390905555154376
"ExtractionRefactoring, HighHunksCount",+Size,0.011971990060989384,0.5668449197860963,2.041010540783285
"ExtractionRefactoring, MajorContributor",+Size,0.016037948949627286,0.5892116182572614,2.12154520864164
