Antecedent,Consequent,Support,Confidence,Lift
"LowCodeChurn, +WordsInDiscussion",+Complexity,0.050137835975189525,0.3943089430894309,1.3430569869078972
"+WordsInDiscussion, MajorContributor",+Complexity,0.15678842177808408,0.32019704433497537,1.0906242050001156
"+WordsInDiscussion, RenameRefactoring",+Complexity,0.014300482425913164,0.503030303030303,1.7133731683027458
"HighHunksCount, +WordsPerComment",+Complexity,0.022398345968297727,0.40123456790123463,1.3666463803396514
"LowChangeSet, +WordsPerComment",+Complexity,0.019641626464507237,0.6063829787234042,2.0654030566376984
"LowCodeChurn, +WordsPerComment",+Complexity,0.014472777394900068,0.45901639344262296,1.5634572462094976
"MajorContributor, +WordsPerComment",+Complexity,0.05513439007580979,0.33126293995859213,1.1283157884505097
ExtractionRefactoring,"-Cohesion, +Complexity",0.012405237767057202,0.31858407079646023,3.12341545084908
"-WordsPerComment, HighHunksCount",+Complexity,0.03790489317711923,0.3832752613240419,1.3054751271858798
"-WordsPerComment, LowChangeSet",+Complexity,0.04135079255685734,0.5240174672489084,1.7848576173196387
"-WordsPerComment, LowCodeChurn",+Complexity,0.03239145416953825,0.36575875486381326,1.2458120969657114
"-WordsPerComment, MajorContributor",+Complexity,0.0954514128187457,0.3060773480662984,1.0425310611366172
"ExtractionRefactoring, HighHunksCount",+Complexity,0.014817367332873881,0.6231884057971016,2.122644077022522
"ExtractionRefactoring, LowChangeSet",+Complexity,0.01050999310820124,0.6853932584269663,2.3345202299941974
"ExtractionRefactoring, MajorContributor",+Complexity,0.019986216402481046,0.5829145728643216,1.9854672423148605
"HighHunksCount, LowChangeSet",+Complexity,0.028256374913852515,0.6431372549019608,2.190591917518181
"LowCodeChurn, HighHunksCount",+Complexity,0.010337698139214336,0.4761904761904763,1.6219539458976082
"HighHunksCount, MajorContributor",+Complexity,0.08666436940041351,0.3917445482866044,1.3343223933424013
"HighHunksCount, RenameRefactoring",+Complexity,0.013783597518952447,0.5095541401273885,1.7355940312789688
"LowCodeChurn, LowChangeSet",+Complexity,0.08201240523776705,0.46168768186226966,1.5725559304745382
